Location,Description
"Dublin, County Dublin, Ireland","· IT Business Analyst - Kildare . . Digital Focused. Diverse growing team. Deliver game-changing data. . . . . This Irish organisation is undertaking a major digital transformation. The company is well established and has a good work-life balance. They are in the building a new web-based application and are in the initial stages and there is an opportunity for a business analyst to help them build and shape the new software product.. . You will join an existing IT team, which includes a Project Manager, a vendor-driven software development team. You will have the opportunity to showcase your IT project skills. This will not only allow you to expand your knowledge but also challenge you on a day-to-day basis. You will be collaborating with a variety of departments dealing with multiple stakeholders along with coordinating with teams and dealing with queries.. . Additionally, you will be exposed to opportunities to grow on an individual level as there is exposure to a wide variety of opportunities such as an opportunity to work with customer-built software.. . The offices of this organization are located in Kildare and the candidate would be expected post covid to work on-site twice a week and work remotely for the rest.. . You will:. . Facilitate workshops, requirements gatherings, and business process definition.. Manage User requirements.. Management of UAT.. Ensure projects are run using Prince 2 methodology.. . Experience: . . 3 years in a business analyst role.. Exposure to software testing. Experience using customer-built software.. Facilitating workshops. . Salary / Remuneration: EUR 50,000-57,000 DOE + 25 ANNUAL DAYS. . For more information contact Cathal McCrory by emailing your CV cathal.mccrory@archer.ie. .  I specialize in recruiting for product owners and business analysts, if you wish to discuss this or other product owner opportunities, please feel free to contact me.. .  For more Project Management opportunities see: http://www.archer.ie/project-management-jobs/. .  About Archer – Archer is a Specialist IT Recruitment Consultancy based in Dublin, Ireland. . Show more"
"Dublin, County Dublin, Ireland","COMPANY OVERVIEW:. . . . Founded in 2000, Analytic Partners (AP) has grown to be the independent global leader in analytics consulting and technology. We help top-tier companies adapt to the rapidly evolving world of data, analytics, and strategic and tactical data-driven decisioning.  We are fast growing with global operations across our full-service offices in New York City, Denver, Charlottesville, Dublin, Sydney, Hong Kong, Singapore, and Shanghai.  We are the premier provider of integrated analytic technology and services, leveraging adaptive modeling techniques to help companies generate better business results, drive growth, and, ultimately, grow closer to their customers. . . . . Analytic Partners is a Certified Women-Owned Business, and a recognized leader in marketing measurement and optimization, and named a Leader in The Forrester Wave&trade; Marketing Measurement and Optimization Q1 2020, with top ranks in Strategy and Current Offering categories among all evaluated vendors.. . . . OUR VALUES:. . . . Our differentiator is - Our People!  We hire the brightest talent and develop them into leaders. We foster a culture of PEOPLE, PASSION and GROWTH.  . . . . People: We value our people, clients, and partners. Passion: We love what we do. Growth: Unlimited growth means unlimited potential. . AP is a client-focused, team-oriented organization where innovation and results are rewarded, and individuals can chart the course of their own careers.. . . . TEAM & POSITION OVERVIEW:. . . .  The Client Engagement Team (CET) is the analytic and consultative backbone of Analytic Partners. We believe that the most successful way to service our clients is to employ a business model where the people who are partnering with the client are the same as the people who prepare, analyze, and deliver insightful, data-driven results and guide clients to use our technology solutions to make optimal decisions. Analytic Partners does not offshore or outsource any of our work; it is all done in-house. Therefore, this high-touch service requires a passion for analytics, balanced with strong communication, a consultative approach, and the ability to deliver a software plus services solution, all to enable our clients to grow their ROI. . . . . At Analytic Partners you will advise and partner with large, well-known businesses, many of which are Fortune 500 or 100 companies.  Your work will help influence their strategic and tactical planning for marketing and beyond, creating growth opportunities which are measured in the tens of millions of dollars.  We develop relationships with our clients and meet with senior audiences, from brand managers to media directors to CMOs and CEOs.  You will learn, measure, and be an expert on marketing, from the basics to contributing to the latest innovations and developments. Our impactful insights are derived from our ability to build accurate and predictive models. A deep understanding of our clients’ data and business, in combination with our customized approach, allows us to “solve the puzzle” of what drives sales, appointments, accounts, brand health, or whatever it is our client wants to do more of.. . . . The Marketing Science Analyst role covers a range of responsibilities in which you will lead the day-to-day elements of projects from building advanced analytic models that leverage Big Data to creating deliverables through presentations and technology that communicate impactful insights and recommendations to our clients.  You will be trained and resourced on our industry leading advanced analytics and big data solutions to help client companies generate better business results, drive growth, and, ultimately, grow closer to their customers.  You will work in a dynamic collaborative team environment on national and multi-national client business.. . . . YOU WILL OWN & COLLABORATE ON:. . . . Partner with clients to help them optimize marketing investments and more using sophisticated analytic methodologies combine with technology and advisory services. Regularly communicate with clients and additional partners to collect, harmonize & review data, build models, interpret results, and formulate key insights. Develop charts, reports and client presentations. Train and guide clients on the adoption of software to run simulations or optimizations for various types of investment planning scenarios. Ensure statistical models and all deliverables are of high quality and meet the internal quality control guidelines. Collaborate as part of a team to drive analyses and insights that lead to more informed decisions and improved business performance. Ensure AP meets or exceeds client expectations on both deliverable milestones and quality. Work with team to continuously evolve our statistical methodologies and develop new ways of efficiently and effectively solving complex client business problems. Collaborate with the Technology Engineering Team (R&D) to help develop new tools and capabilities. . QUALIFICATIONS & EXPERIENCE YOU WILL NEED:. . . . Fluent in a second European language highly preferred. Bachelor’s degree or above (ideal areas of study/related study include: Business Analytics and Management, Economics, Statistics, Mathematics, and/or Marketing). 1-3+ years of experience with any combination of advanced and predictive analytics, marketing analytics, and analytic techniques for marketing, customer, and business applications. Experience working with big data; building and optimizing ‘big data’ data pipelines, architectures, and data sets. Strong working knowledge of Microsoft PowerPoint, Excel, and SQL; Additional tools such as VBA, R, and/or Python are a plus but not required. Highly analytical with strong problem-solving skills and attention to detail. Experience working independently on analytical tasks to build a story. Comfortable working with a team developing and presenting presentations using insights derived from analytics. The ability to occasionally travel domestically and/or internationally. Strong verbal and written communication skills internally and externally. An understanding of how to use data to solve complex business questions and drive business solutions. .  . . . . You must be eligible to work in Ireland on an unlimited basis to be considered for this job.. . . . Show more"
"Tipperary, County Tipperary, Ireland","Role Overview. . Responsible for evaluating the current state of the company’s databases and data systems.. Analyse , identify new solutions to increase efficiency, performance and data insights .. Designs database solutions to ensure company information is stored effectively and securely. Defines the overall data structure, including recovery, security, integration, backup, and capability specifications.. Responsible for design and maintenance of Enterprise Data Model.. Developing database solutions to store and retrieve company information data strategy. Analysing structural requirements for new software and applications.. Works closely with data engineers in designing and building company data.. We are looking for a Data Architect to build, optimize and maintain conceptual and logical database models. Creates database solutions, evaluates requirements, documents systems, designs integrations and data consumption layers including interfaces and reports.. . Primary Objectives. . Design and Maintenance of Enterprise data model. Analyses system requirements. Architectural designs of integration and migration methods for data. Develop database solutions to store and retrieve company information. Optimize new and current data systems. Design and implement effective database solutions and models to store and retrieve company data. Examine and identify database structural necessities by evaluating client operations, applications, and programming. Prepare accurate database design and architecture reports for management and executive teams. Recommend solutions to improve new and existing database systems. Educate staff members through training and individual support. Work as bridge between BA and developers translating BA requirements into technical solutions. Analysing and documenting business processes, system architecture and business/functional requirements. Creating standards, structures and data governance. Designing integration architecture including: data flow, process flow and ETL integrations. Documentation and design of data consumption layer including definition of reports, interfaces and Rest API architecture. Defining and supervising implementation of Enterprise Data Standards and good practices. Redesign the Integration, Rest API layer, Web services, Data flows between applications. . Knowledge & Skills. . Proven 5 years work experience as a Data Architect, Data Scientist, Data/System Analyst or similar role. In-depth understanding of database structure principles. Experience gathering and analysing system requirements. Knowledge of data mining and segmentation techniques. Expertise in SQL and Oracle. Knowledge of DB tuning. Proven analytical skills. Familiarity with data visualization tools. Problem-solving attitude. Strong knowledge of database structure systems and data mining. Excellent organizational and analytical abilities.. Outstanding problem solver. Good written and verbal communication skills.. Experience in working across multiple business processes, systems and platforms. Experience with business process mapping/documentation, developing use cases, documenting system architecture and creating concept and context diagrams. Strong process documentation skills. Hands-on experience with Enterprise Architect or similar tool for UML modelling. Fluent English is a must. Nice to have knowledge of big data tools i.e Kafka, Spark, Mongo DB. Experience in designing Enterprise Solutions. . To apply please email debbie.oneill@cpl.ie. Show more"
"Galway, County Galway, Ireland","Job Title - Business Development Analyst. Location - Galway, Ireland. . Schneider’s purpose is to empower all to make the most of our energy and resources, bridging progress and sustainability for all. We call this Life Is On.. . Our mission is to be your digital partner for Sustainability and Efficiency.. . We drive digital transformation by integrating world-leading process and energy technologies, end-point to cloud connecting products, controls, software and services, across the entire lifecycle, enabling integrated company management, for homes, buildings, data centers, infrastructure and industries.. . We are the most local of global companies. We are advocates of open standards and partnership ecosystems that are passionate about our shared Meaningful Purpose, Inclusive and Empowered values.. . www.se.com. . Are you our next Business Development Analyst? Schneider Electric has a great opportunity for the right person to join our well-established team as a Business Development Analyst.. . What do you get to do in this position?. Our multiple tiered approach as to how we go to market makes the reporting and analysis of performance extremely complex. Not only are we supporting the efforts & efficiencies of our salespeople in over 100 countries, the data accuracy of our distributors, but also many other global, regional & sub-regional teams.. We currently have 1 individual supporting commercial projects involving demand steering, commercial forecasting, order backlog & commercial projects with some of our largest customers.. This additional resource will allow us to provide the project management, technical & analytic support necessary to optimize our commercial efforts across all regions.. The role is responsible for supporting project objectives.. Works closely with the Project Sponsor and Project Management Team to define project objectives, create a plan for and executing the plan to achieve those objectives.. Has a working knowledge of the technical and organizational environments in which the project deliverables are created and in which they will be used.. Must be an excellent communicator at all levels within the project environment, be proactive, exhibit strong leadership qualities and be able to adapt to a dynamic and potentially geographically disbursed project environment. . What are your key responsibilities in the role?. . Responsible for meeting the scope, schedule, resource and budget commitments reflected in the Project Management Plan.. Participate in the project management team in developing and managing the Project Management Plan within the constraints established and approved by the Project Sponsor.. Implement and enforce change control over project scope, schedule, resources and budget.. Negotiate with functional managers and/or organizational management to obtain adequate resources with appropriate skills to staff the project team.. Participate in the timely resolution of issues, including the escalation of issues that are outside of the project team’s scope of responsibility.. Continually identify and proactively manage project risks & issues, ensure execution of corrective action plans up to closure.. Monitor the project and report the project status to the management on a regular basis.. Small projects, local projects, limited need for coordination, small project team. . This role might be for you if?. Education: Bachelor’s Degree preferred;. Proficient in English with exceptional written, verbal and interpersonal communication skills;. Experience with Oracle an advantage. Previous experience in customer support or sales is a plus;. Ability to multi-task (logging queries while speaking with customers);. PC skills (Microsoft, Windows, ERPs);. Basic aptitude for learning technical concepts essential;. Excellent interpersonal, communications, and time management skills;. Ability to work on own initiative, but also as part of a team;. Flexible and have the ability to learn quickly;. Previous CRM experience an advantage;. Proven success in delivering results in a global, dynamic matrix organization through collaborative execution. Problem solving skills required. Experience escalating issues and driving for solutions that meet customer expectations desired. Continuous improvement mindset. Ability to work effectively in all organizational levels, including influencing people who are not direct reports. . What We Can Offer You. . You can look forward to growing your career in a dynamic workplace with significant personal responsibility and attractive development opportunities. Flexible working models to ensure a balance of family and working life. Optimal support on your career path through regular training opportunities. A dynamic and personal atmosphere, working with a global energised team. A company culture that encourages performance and cooperation. An attractive compensation package including the comprehensive fringe benefits expected of an international company. . We seek out and reward people for putting the customer first, being disruptive to the status quo, embracing different perspectives, continuously learning, and acting like owners. We want our employees to reflect the diversity of the communities in which we operate. We welcome people as they are, creating an inclusive culture where all forms of diversity are seen as a real value for the company.. . Please submit an online application to be considered for any position with us. This position will be posted until filled.. . If our recruiting team determines your background may be a good match for this position, we'll contact you directly regarding the next steps in the process.. . You know about us, so let us learn about you! Apply today.. . We look forward to receiving your application via our online job portal.. . Schedule: Full-time. Req: 006LMZ. . . Show more"
"Cork, County Cork, Ireland","Job Title:   Product Data Analyst. . Reports to:  Head of Product Management. . Location:   Cork, Ireland. .  . . Purpose. . A key role supporting the Product Management team in driving data-driven decision-making for our product roadmap. The Product Analyst will be mainly responsible for extracting insight from our usage tools. A strong data analytics mind and outstanding visualization skills are key to this role. To complete the circle of understanding our customers/users, the person taking this role will also be expected to participate and sometimes lead interviews with our customers. As well as to deep dive into our CRM when needed.. . . . . Key Responsibilities Areas (KRAs). . Analytics Tools (Google Analytics, Google Data Studio, Full Story, HubSpot). . Own the Google Analytics, Data Studio and Full Story tools from a governance, process, reporting and continuous improvement perspective. Ensure strong coordination with the back-end technology team.. Coordinate with our Sales Operations Analyst to connect with our CRM (Hubspot) when needed to derive product insight . Maintain data integrity and process supporting this to enable accurate strategic & tactical decisions. Become the go-to-person for specific questions on the usage of features, functionalities and content for the Product Management team. . . . . Analysis & Reporting. . Design and extract the set of basic dashboards that will show the general performance of our product. Monitor and report on changes.. Own the set of product metrics and its evolutions. Monitor and report on changes.. Implement (and help product managers design) the measures of success for ad-hoc product initiatives.. Design and implement the specific metrics that will help product managers test ideas.. Own and publish periodically a general report that summarizes the state of our application.. Create ad-hoc reports when requested by the Product Management team.. Collaborate with database and software engineers for data capture and extraction.. . . . . Your Profile. . Minimum of 2 years’ experience working within a related role . Strong analytical skills – comfortable with pulling and presenting results/analysis. Passion for Data, Analytics and Visualization. Exceptional presentation and communication skills. Comfortable engaging with engineering teams to discuss data modelling and querying. A business or engineering degree (level 8) would be an advantage. Dynamic and creative problem solver. Outstanding attention to detail essential. . . . . About Compliance & Risks. . Compliance & Risks helps companies get products to market faster by helping them meet their legal requirements in order to produce and sell products around the world. . . C2P, our compliance management software, offers clients a single source of truth to effectively monitor and manage the regulations, standards and requirements relevant to their products. Trusted by Samsung, Fujitsu and Vaillant, amongst many others, we are recognized as the end-to-end global compliance solutions provider.. . Show more"
"Cork, County Cork, Ireland","Cohesity radically simplifies data management. We make it easy to back up, manage, and derive value from data -- across the data center, edge and cloud. Cohesity also helps ensure data is in compliance and protected against ransomware attacks. We offer a full suite of data management services consolidated on one multicloud data platform, reducing complexity and eliminating mass data fragmentation. Cohesity can be delivered as a service, self-managed, or provided by a Cohesity-powered partner.. . We’ve been named a Leader by multiple analyst firms, and are prominently featured in the Forbes Cloud 100 and CRN’s Coolest Cloud companies. Our growth is off the charts, and we’re just getting started!. . Sales Development Representative. . Location - Cork, Ireland. . Responsibilities. . Identify Qualified Meetings that result in Opportunities within a specific territory via phone and email.. Build and maintain consistent sequence of communication with prospects.. Leverage Salesforce and internal prospecting tools: Tout, DiscoverOrg, RingDNA, Linkedin etc.. Exhibit qualities of overachievement, self-motivation, good teamwork and positive attitude. Meet and exceed minimum activity metrics. . . . Qualifications/Requirements. . BS/BA degree or equivalent work experience.. 1 year minimum cold calling/lead generation into Enterprise Accounts.. The ability to be personable with written and verbal communication skills. Career Oriented with goals to advance within Sales/Business Development.. . . . Data Privacy Notice For Job Candidates. . For information on personal data processing, please see our Privacy Policy.. . . Show more"
"Dublin, County Dublin, Ireland","Web Security Analyst. . €65,000 /Fully Remote / Dublin 4. . Summary. . A leading mobile services provider based in Dublin 4 are looking to hire a Security Data Analyst. Responsible for the analysis of security data (various alarms/logs from protection device) of production network, focusing on discovering threats from data and improving security protection.. . Skill Requirement. . OWASP top 10 Experience. Excellent knowledge of Web security (Java backend), familiar with the root causes and mitigation techniques, continuous researching of various threats on the internet.. Web service protection devices (WAF/RASP/WEB vulnerability scanner) to understand its detection mechanism and applicable scenarios.. Python or other scripting languages, and be able to implement efficient automated data analysis tools.. . Nice To Have. . Experience in SOC (Security Operation Center). Front End Web Development Exp. O&M experience for large-scale production network (more than 10k hosts). Web vulnerability mining. . Morgan McKinley is acting as an Employment Agency and references to pay rates are indicative.. . BY APPLYING FOR THIS ROLE YOU ARE AGREEING TO OUR TERMS OF SERVICE WHICH TOGETHER WITH OUR PRIVACY STATEMENT GOVERN YOUR USE OF MORGAN MCKINLEY SERVICES.. Show more"
"Cork, County Cork, Ireland","Barden are excited to be partnering with our client on this strategic and permanent opportunity on their EMEA Sales and Marketing Operations Team. This is a permanent role for a Senior Sales Operations Data Analyst and the team is looking for someone strong and commercial who will be able to analyse trends and provide insights across EMEA and the US to help guide financial analysis, sales and marketing teams on how to optimise, monitor and drive sales.. . This company will be working from home until it’s safe to return to the office. They also have WFH flexibility in general.. . About The Role. . Conduct sales, market share analysis, analyse traffic and conversion rate analysis across key product categories on Ecommerce in EMEA countries. Collaborating with account managers, financial analysts, and marketing specialist to develop and implement initiatives to strategically grow category market share in appointed countries. Review and propose SEO updates. Prepare and present quarterly business review insights for appointed countries, working closely with functional team to make go-forward recommendations based on learnings. Support execution of New Product Introductions (NPI) across product portfolio on e-commerce platforms, ensuring the successful launch of new products. Monitor and report on product pricing, promotion, inventory, markdown, content, and review ratings to ensure sales opportunities are continually being optimized. Look for new ways to analyse the business and drive productivity. . . . About The Person. . Data Analysis experience. Experience working with ecommerce channel partners, Amazon experience preferred. Understanding of e-commerce and the EMEA e-tail market. Experience in Microsoft Business Suite. Strong attention to detail. Ability to manipulate data to create actionable insights. Strong leadership skills, ability to influence cross functionally at all levels. . . . Barden’s Accounting and Tax recruitment practice is where finance professionals go before they start looking for a job. Make sure you get expert advice about your Accounting / Tax career from Barden first – your future is just too important to leave to chance.. . Job originally posted on GrabJobs. If you need to report this job please contact GrabJobs. Show more"
"Cork, County Cork, Ireland","At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.. . About Us. . At Lilly, we make a difference for people the world over by discovering, developing, and delivering medicines that help people live longer, healthier and more active lives. Central to all that we do are our talented and motivated professionals. Today more than 700 are based at our Global Business Solutions centre in Little Island, Cork. There we boast a vibrant workforce made up of over 35 nationalities, speaking over 27 languages.. . Established in 2010 to gain efficiencies in Finance GBS Cork quickly excelled in its financial mandate, allowing the Cork leadership to ask, how can we apply these processes to other areas of the business? And so the GBS we have today was born, still leading in finance, but also evolving and expanding into diverse Business Service functions.. . This, along with the current physical expansion of the Little Island campus, means there has never been a more exciting time to be part of the GBS story! The new Island Hall facility will extend our overall capacity where Lilly will continue to offer a premium workspace across both buildings.. . Our benefits package includes healthcare, pension and life assurance benefits, subsidised canteen, wellbeing facilities, Educational Assistance, travel subsidies, car-pooling incentives, bike to work scheme, on-site parking and much more.. . At the GBS, it’s not just about what we do today, but how we can continuously improve and innovate for present and future operations.. . Above all, it’s about being part of an open, welcoming and inclusive culture, one that is further enhanced by the dedication of our committees - Culture Club, Diversity & Inclusion, Sports & Social, Corporate Social Responsibility, Health Safety & Environment and Food.. . “We see Cork as an integral part of our productivity agenda. If you are excited by new opportunity and new scope, you are working at the right place.” – Dave Ricks, CEO Lilly. . Purpose. . The role of a P2P Data/Reporting Analyst for is an integral role to drive P2P Transformation in 2021. The early months of this role will see the successful candidate being involved in major P2P Transformation projects.. . The ideal candidate for this role would have fluency in a second language (German, French, Spanish, Italian, Dutch, Portuguese, Polish, Russian, Croatian, Serbian, Czech, Hungarian, Romanian and / or Turkish), but it is not mandatory.. . The P2P Data/Reporting Analyst will manage processes from data collection through report generation to ensure the timely, complete, and accurate delivery of all required reporting.. . The person who fills this role will be responsible for leading data collection and reporting processes, and work to resolve inquiries in a manner that maximizes customer experience.. . Key Responsibilities. . As a key user of Lilly’s P2P Data Sources, set up and manage parameters which generate all Global P2P Finance Reporting and Controls for internal users.. Interact with various Teams, Towers and Business areas, to meet P2P’s reporting obligations.. Work towards established timelines around month end, quarter end and year end.. Ensure relevant analytics are conducted to provide confidence that the data are complete, accurate, and timely.. Lead the identification and implementation of process improvements.. Lead data quality governance processes.. . Understand all relevant data, systems, policies / procedures, and reporting requirements. . Build a thorough understanding of P2P reporting requirements. Develop knowledge of systems and business processes to support data analysis and inquiry needs (data collection, processing & reporting). Develop awareness of various global reporting requirements; understand possible implications to reporting environment and make recommendations for system and business changes. . Manage efforts to process and analyze P2P data that supports report delivery. . Act as P2P subject matter reporting expert, lead development of new capabilities and support other team members and business partners. Support the processing and analysis of P2P Data from applicable systems and processes. Manage data inquiries from internal customers, and manage issue resolution. Facilitate collection, management, and analysis of data, as necessary. Develop, document, communicate, and enforce data standards, as necessary. . Collaborate and influence business & automations partners to accommodate new & changing reporting requirements. . Develop and maintain strong relationships / communication with global cross-functional business process and data owners (business & automation). Partner with business areas to understand data gaps and drive issues to closure; leverage partnerships to influence business process changes, where appropriate. Anticipate and understand impact of changes to sources systems on reporting capabilities, changes to reporting requirements on system needs, etc.. Provide ongoing consulting on data strategy (e.g., control design, operational processes, etc.), including potential impacts of expanding requirements. . Compliance. . Understand and follow all compliance policies, laws, regulations and The Red Book.. Ensure adherence to all document retention requirements in line with Lilly Global Record Retention Schedule and any applicable local legal requirements, including filing, storing, archiving, and destroying documents at the end of the record retention period. Ensure all SOx and Operational controls are completed and followed to level required and within agreed timeframe.. Integrate compliance into daily activities.. Comply with any corrective actions.. Cooperate with investigations, monitoring and audits.. . Personal Attributes. . Ability to handle complexity and utilize analytical skills, with attention to detail. Ability to effectively prioritize and complete key tasks and deliverables whilst also engaging others to achieve their deadlines towards compliance & change initiatives. Ability to communicate effectively & influence across all levels and disciplines of the organization. . . Minimum Qualification Requirements. . 3 years experience in P2P. Bachelors Degree or equivalent in Finance / Data Analytics.. Effective team member with ability to work across a diverse and cross-functional work group.. Must be flexible and adaptable to change. Demonstrated strong interpersonal, written and oral communication skills. Advanced Research, analytical and issues resolution skills. Must be able to multi-task and work well under pressure. Developed good relationships with various levels of personnel in Lilly’s Financial organization and third party service providers. Proficient with Microsoft Office software (Excel, Word, Power Point etc…). . Systems. . Experience in MS Office. SAP Experience. Power BI. . . Additional Preferences. . Understanding of P2P Finance, data management, and project management principles. Experience working with global business partners. High degree of comfort working with Finance Data and in a technical environment. Demonstrated critical thinking; ability to think broadly and strategically. Proven initiative to prioritize deliverables, make decisions in a fast paced and complex environment, and deliver. Strong organizational and time management skills. Effective communication skills. Demonstrated teamwork and ability to work effectively across organizations. Demonstrated ability to develop, implement, and improve business processes and solutions. Strong problem-solving skills, attention to detail, and ability to develop and apply creative solutions. Knowledge of Financial reporting obligations, and understanding of evolving reporting landscape. Ability to analyse data in order to draw conclusions. . Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.. . Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.. Show more"
"County Dublin, Ireland","Founded by Mastercard & IBM, Truata offers a new approach to handling data anonymization and analytics to help organizations meet the standards of personal data protection envisioned by the GDPR. Trūata offers its customers a service to fully anonymize algorithms and reports that customers can use in their own products and solutions. We are based in Sandyford Dublin 18.. . . . . We are looking for a Senior Product Manager to join our growing product team in our Dublin office. The person will own the product roadmap for one of our key data analytics services which is used by financial institutions across Europe. This is an exciting opportunity for a versatile and enthusiastic individual to work on truly industry leading product.    . . . . . The Senior Product Manager role in Trūata is a hands-on role which will suit people with a technical background and/or data analytics background and will require active customer engagement and management. This role requires someone with a proven track record in end to end developing of SaaS solutions and successfully bringing them to market. The position reports into Trūata’s Head of Product Management.. .  . . Key Responsibilities:. . Define, develop and own the product roadmap for a key data analytics solution.. Provide clear product direction and strategy for product development activities.. Collaborate with our Data Science and Privacy SMEs to ensure that foundational data privacy techniques and risk mitigation are core to the proposition.. Develop deep understanding of business objectives and customer / end user requirements and develop these into backlog for delivery teams.. Assesses market competition by comparing the company's current & planned product to alternative offerings in the marketplace.. Assesses product market data by engaging with customers and evaluating feedback .. Collaborate with operations and finance to determine future producing structures for new markets and product enhancements. Collaborate with Product Marketing, Marketing and Sales functions to make sure the product value proposition is consistent, strong and clearly articulated.. Manage external vendor and partner relationships as required.. Establishing delivery schedules with engineering and operations teams.. .  . .  . . What you need:. . Third level degree in a technical discipline (computer science, engineering, data analytics).. Highly resilient personality with extensive stakeholder and customer management experience. Previous experience as a SaaS or analyst, product owner or product manager, preferably on highly scalable data management, data analytics or data integration services and platforms.. Deep understanding of Business Intelligence and Machine Learning concepts a distinct advantage. Experience in defining and designing new product concepts for delivery in cloud computing environments (Azure/AWS) and leveraging the core infrastructure, platform and service capabilities of cloud environments to drive rapid implementation. 8 years hands on experience in a lead product development or product management role. Experience of driving release planning and rapid release cycles. Experience working in an agile environment. Attention to detail with an analytical, quantitative mindset. Flexibility to operate successfully in a dynamic environment. Ability to manage and influence C-level stakeholders. Strong communication and presentation skills. . . . . What else we value:. . A natural intellectual curiosity to discover and ability to articulate the true “why”. Collaboration is critical to success. . . . . Benefits. . We take pride in offering an energetic and contemporary employee experience, supported by and array of benefits that provide our employees and their families with flexibility, quality and value. These include excellent health insurance, contributory pension scheme.. . Show more"
"Dublin, County Dublin, Ireland","Job Title:                       Reinsurance Portfolio Analyst  . . Reporting to:                Reinsurance Manager . . Team:                              Reinsurance. . Function:                       Underwriting. .  . . Overview. . In business for over 50 years, FBD is one of Ireland’s largest property and casualty insurers, holding lead positions in its target markets. As Ireland’s only independent publically listed insurance company, FBD is a very prominent competitor in the general insurance market with all senior management based in Dublin.. . The Reinsurance Function falls under the remit of the Chief Underwriting Officer and works closely with the underwriting, claims, actuarial and finance departments. We are looking for a talented data analyst to join our small team to help us better utilise our data and enhance our operating processes. If you are data curious, excited about deriving insights from data, and motivated by having impact on the business, we want to hear from you.. . The successful candidate will have full responsibility to develop and manage all aspects of the reinsurance data, from input, system development and maintenance to reporting.. .  . . Job responsibilities:. . Develop, update and manage reinsurance databases for premiums, claims and participations. Prepare and maintain all reinsurance related reporting, enhancing and automating current processes. Deal with Reinsurer and Reinsurance broker queries, and liaise with wider internal teams. Production and management of claims notifications for excess of loss programmes, and the subsequent cash flows. Review internal and external reinsurance reports and accounts. Support broader business in other duties as assigned.. .  . . Experience & Qualifications. . SQL experience is essential, with capability to write queries and build SSIS packages. Familiarity with visualisation and reporting tools such as Tableau. Strong problem solving, analytical skills and decision-making ability;. Effective communication, presentation and interpersonal skills;. Experience with large data sets, data manipulation, and data cleansing;. Prior experience in Insurance/Reinsurance is advantageous, but not essential but must possess appetite to learn and understand and enhance.. .  . .  . . Key attributes of the individual will include:. . Self-motivated with the ability to work on own initiative and an active desire to develop knowledge and experience. An ambitious attitude, an individual who is self-aware and willing and able to grow and develop further assuming increased responsibility with experience and opportunity. Strong focus on quality, completeness and accuracy. Effective planning, organisation and problem-solving skills. Excellent oral and written communication skills, with an ability to discuss and explain report findings in a clear and concise manner. Good relationship development skills and capable of working proactively with internal and external business colleagues. .  . .  . .  . .  .. . . . . Requirements. . Third level qualification in a science, mathematics or engineering discipline with 1+ year’s relevant experience working as a data scientist in a commercial environment. Other related experience / factors will be considered as appropriate. . .  . . This role is being offered on a permanent basis.. .  . . Applications with full Curriculum Vitae quoting reference “21-R-065 Reinsurance Portfolio Analyst” should be sent by email to jobs@fbd.ie. .  . . FBD is an inclusive Equal Opportunity employer that considers applicants irrespective of their age, gender, ethnicity, culture, religion, language, sexual orientation, ability, disability and social circumstances. . . Show more"
